genres,id,original_title,overview,popularity,poster_path,production_companies,release_date,tagline,title,vote_average,vote_count,genres_clean,companies_text,content
comedy drama romance,2064,while you were sleeping,"a love story built on a misunderstanding. a transit worker pulls commuter peter off the tracks after he's mugged. but while he's in a coma, his family mistakenly thinks she's peter's fiancée, and she doesn't correct them. things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be.",15.783615,/qNGO3ETcNwlWqK2kNRpbJSJRlos.jpg,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]",1995-04-21,a story about love at second sight.,while you were sleeping,6.5,340.0,"['Drama', 'Comedy', 'Romance']",caravan pictures hollywood pictures,"while you were sleeping comedy drama romance a love story built on a misunderstanding. a transit worker pulls commuter peter off the tracks after he's mugged. but while he's in a coma, his family mistakenly thinks she's peter's fiancée, and she doesn't correct them. things get more complicated when she falls for his brother, who's not quite sure that she's who she claims to be. a story about love at second sight. caravan pictures hollywood pictures"
drama comedy romance,236,muriel's wedding,"muriel’s wedding is p.j. hogan’s film debut. a humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. an amusing comedy that’s funny, silly, angry and serious.",5.254847,/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg,"[{'name': 'Ciby 2000', 'id': 105}, {'name': 'Film Victoria', 'id': 11840}, {'name': 'House & Moorhouse Films', 'id': 39250}]",1994-09-29,success is the best revenge.,muriel's wedding,6.9,104.0,"['Drama', 'Comedy', 'Romance']",ciby 2000 film victoria house & moorhouse films,"muriel's wedding drama comedy romance muriel’s wedding is p.j. hogan’s film debut. a humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. an amusing comedy that’s funny, silly, angry and serious. success is the best revenge. ciby 2000 film victoria house & moorhouse films"
action crime,315,"faster, pussycat! kill! kill!","three strippers seeking thrills encounter a young couple in the desert. after dispatching the boyfriend, they take the girl hostage and begin scheming on a crippled old man living with his two sons in the desert, reputedly hiding a tidy sum of cash. they become house guests of the old man and try and seduce the sons in an attempt to locate the money, not realizing that the old man has a few sinister intentions of his own.",4.220541,/2hIHFk52SZ9XsZB4U85RUq36BT4.jpg,"[{'name': 'Eve Productions Inc.', 'id': 170}]",1965-08-06,go-go for a wild ride with the action girls!,"faster, pussycat! kill! kill!",6.5,59.0,"['Crime', 'Action']",eve productions inc.,"faster, pussycat! kill! kill! action crime three strippers seeking thrills encounter a young couple in the desert. after dispatching the boyfriend, they take the girl hostage and begin scheming on a crippled old man living with his two sons in the desert, reputedly hiding a tidy sum of cash. they become house guests of the old man and try and seduce the sons in an attempt to locate the money, not realizing that the old man has a few sinister intentions of his own. go-go for a wild ride with the action girls! eve productions inc."
drama action thriller,2087,the getaway,"doc mccoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. doc knows jack benyon, a rich ""business""-man, is up to something big, so he tells his wife (carol mccoy) to tell him that he's for sale if benyon can get him out of prison. benyon pulls some strings and doc mccoy is released again. unfortunately he has to cooperate with the same person that got him to prison.",14.214403,/ftbdJTJi6mR5iZV5ESJWv8f8pWN.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Largo Entertainment', 'id': 1644}]",1994-02-11,,the getaway,5.4,81.0,"['Thriller', 'Drama', 'Action']",universal pictures largo entertainment,"the getaway drama action thriller doc mccoy is put in prison because his partners chickened out and flew off without him after exchanging a prisoner with a lot of money. doc knows jack benyon, a rich ""business""-man, is up to something big, so he tells his wife (carol mccoy) to tell him that he's for sale if benyon can get him out of prison. benyon pulls some strings and doc mccoy is released again. unfortunately he has to cooperate with the same person that got him to prison.  universal pictures largo entertainment"
action adventure crime thriller,2019,hard target,"when a woman's father goes missing, she enlist a local to aid in her search.  the pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation.",7.834351,/mXCM7pmUFUGp7QzSmare3RITe6n.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Renaissance Pictures', 'id': 467}, {'name': 'Alphaville Films', 'id': 11462}]",1993-08-20,don't hunt what you can't kill.,hard target,6.1,237.0,"['Thriller', 'Crime', 'Action', 'Adventure']",universal pictures renaissance pictures alphaville films,"hard target action adventure crime thriller when a woman's father goes missing, she enlist a local to aid in her search.  the pair soon discover that her father has died at the hands of a wealthy sportsman who hunts homeless men as a form of recreation. don't hunt what you can't kill. universal pictures renaissance pictures alphaville films"
action thriller crime,6,judgment night,"while racing to a boxing match, frank, mike, john and rey get more than they bargained for. a wrong turn lands them directly in the path of fallon, a vicious, wise-cracking drug lord. after accidentally witnessing fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama",5.538671,/3rvvpS9YPM5HB2f4HYiNiJVtdam.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Largo Entertainment', 'id': 1644}, {'name': 'JVC Entertainment Networks', 'id': 4248}]",1993-10-15,don't move. don't whisper. don't even breathe.,judgment night,6.4,79.0,"['Thriller', 'Crime', 'Action']",universal pictures largo entertainment jvc entertainment networks,"judgment night action thriller crime while racing to a boxing match, frank, mike, john and rey get more than they bargained for. a wrong turn lands them directly in the path of fallon, a vicious, wise-cracking drug lord. after accidentally witnessing fallon murder a disloyal henchman, the four become his unwilling prey in a savage game of cat &amp; mouse as they are mercilessly stalked through the urban jungle in this taut suspense drama don't move. don't whisper. don't even breathe. universal pictures largo entertainment jvc entertainment networks"
adventure science fiction,329,jurassic park,"a wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric dna. before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. however, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.",8.863776,/bRKmwU9eXZI5dKT11Zx1KsayiLW.jpg,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Amblin Entertainment', 'id': 56}]",1993-06-11,an adventure 65 million years in the making.,jurassic park,7.6,4956.0,"['Science Fiction', 'Adventure']",universal pictures amblin entertainment,"jurassic park adventure science fiction a wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric dna. before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. however, the park is anything but amusing as the security systems go off-line and the dinosaurs escape. an adventure 65 million years in the making. universal pictures amblin entertainment"
comedy drama family,788,mrs. doubtfire,"loving but irresponsible dad daniel hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. when daniel learns his ex needs a housekeeper, he gets the job -- disguised as an english nanny. soon he becomes not only his children's best pal but the kind of parent he should have been from the start.",11.16553,/shHrSmXS5140o6sQzgzXxn3KqSm.jpg,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Blue Wolf', 'id': 10230}]",1993-11-24,she makes dinner. she does windows. she reads bedtime stories. she's a blessing... in disguise.,mrs. doubtfire,7.0,1638.0,"['Drama', 'Comedy', 'Family']",twentieth century fox film corporation blue wolf,"mrs. doubtfire comedy drama family loving but irresponsible dad daniel hillard, estranged from his exasperated spouse, is crushed by a court order allowing only weekly visits with his kids. when daniel learns his ex needs a housekeeper, he gets the job -- disguised as an english nanny. soon he becomes not only his children's best pal but the kind of parent he should have been from the start. she makes dinner. she does windows. she reads bedtime stories. she's a blessing... in disguise. twentieth century fox film corporation blue wolf"
comedy drama romance,858,sleepless in seattle,a young boy who tries to set his dad up on a date after the death of his mother. he calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a journalist annie who flies to seattle to write a story about the boy and his dad. yet annie ends up with more than just a story in this popular romantic comedy.,10.234919,/jAXfku1u1uaLGh4cUmK0ESf1pPu.jpg,"[{'name': 'TriStar Pictures', 'id': 559}]",1993-06-24,"what if someone you never met, someone you never saw, someone you never knew was the only someone for you?",sleepless in seattle,6.5,630.0,"['Drama', 'Comedy', 'Romance']",tristar pictures,"sleepless in seattle comedy drama romance a young boy who tries to set his dad up on a date after the death of his mother. he calls into a radio station to talk about his dad’s loneliness which soon leads the dad into meeting a journalist annie who flies to seattle to write a story about the boy and his dad. yet annie ends up with more than just a story in this popular romantic comedy. what if someone you never met, someone you never saw, someone you never knew was the only someone for you? tristar pictures"
action thriller crime romance,319,true romance,"clarence marries hooker alabama, steals cocaine from her pimp, and tries to sell it in hollywood, while the owners of the coke try to reclaim it.",17.189328,/39lXk6ud6KiJgGbbWI2PUKS7y2.jpg,"[{'name': 'Davis-Films', 'id': 342}, {'name': 'August Entertainment', 'id': 3322}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Morgan Creek Productions', 'id': 10210}]",1993-09-09,"stealing, cheating, killing. who said romance was dead?",true romance,7.5,762.0,"['Thriller', 'Crime', 'Romance', 'Action']",davis-films august entertainment warner bros. morgan creek productions,"true romance action thriller crime romance clarence marries hooker alabama, steals cocaine from her pimp, and tries to sell it in hollywood, while the owners of the coke try to reclaim it. stealing, cheating, killing. who said romance was dead? davis-films august entertainment warner bros. morgan creek productions"
drama fantasy western,922,dead man,"on the run after murdering a man, accountant william blake encounters a strange north american man named nobody who prepares him for his journey into the spiritual world.",6.505272,/jX3wGBVoYoAY3IixBpwYk1fjT4z.jpg,"[{'name': 'JVC Entertainment', 'id': 182}, {'name': 'Pandora Filmproduktion', 'id': 254}, {'name': 'Newmarket Capital Group', 'id': 506}, {'name': '12 Gauge Productions', 'id': 663}]",1995-12-23,no one can survive becoming a legend.,dead man,7.2,397.0,"['Drama', 'Western', 'Fantasy']",jvc entertainment pandora filmproduktion newmarket capital group 12 gauge productions,"dead man drama fantasy western on the run after murdering a man, accountant william blake encounters a strange north american man named nobody who prepares him for his journey into the spiritual world. no one can survive becoming a legend. jvc entertainment pandora filmproduktion newmarket capital group 12 gauge productions"
crime drama thriller,1645,a time to kill,"a young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the kkk.",13.309013,/w8UCke112E9jrhjKcwG32kyhTx5.jpg,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}]",1996-07-24,experience a time you'll never forget.,a time to kill,7.0,522.0,"['Thriller', 'Drama', 'Crime']",regency enterprises warner bros.,"a time to kill crime drama thriller a young lawyer defends a black man accused of murdering two men who raped his 10-year-old daughter, sparking a rebirth of the kkk. experience a time you'll never forget. regency enterprises warner bros."
science fiction mystery adventure,62,2001: a space odyssey,"humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of hal 9000, the world's most advanced super computer.",22.494622,/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg,"[{'name': 'Stanley Kubrick Productions', 'id': 385}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1968-04-10,an epic drama of adventure and exploration,2001: a space odyssey,7.9,3075.0,"['Mystery', 'Science Fiction', 'Adventure']",stanley kubrick productions metro-goldwyn-mayer (mgm),"2001: a space odyssey science fiction mystery adventure humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of hal 9000, the world's most advanced super computer. an epic drama of adventure and exploration stanley kubrick productions metro-goldwyn-mayer (mgm)"
drama mystery,223,rebecca,a self-conscious bride is tormented by the memory of her husband's dead first wife.,8.590813,/1qz3qUOHnVy7dL7M7G8jSErxE4b.jpg,"[{'name': 'Selznick International Pictures', 'id': 1553}]",1940-04-12,the shadow of this woman darkened their love.,rebecca,7.7,346.0,"['Drama', 'Mystery']",selznick international pictures,rebecca drama mystery a self-conscious bride is tormented by the memory of her husband's dead first wife. the shadow of this woman darkened their love. selznick international pictures
comedy war,198,to be or not to be,"during the nazi occupation of poland, an acting troupe becomes embroiled in a polish soldier's efforts to track down a german spy.",7.274948,/dDQRpEoyjHT4fzw9cNklIvZuXYg.jpg,"[{'name': 'United Artists', 'id': 60}]",1942-03-05,,to be or not to be,7.7,119.0,"['Comedy', 'War']",united artists,"to be or not to be comedy war during the nazi occupation of poland, an acting troupe becomes embroiled in a polish soldier's efforts to track down a german spy.  united artists"
action thriller mystery,260,the 39 steps,"while on vacation in london, canadian richard hannay becomes embroiled in an international spy ring related to the mysterious ""39 steps."" then he meets agent annabella smith, who is soon killed in his apartment. he must elude the police, who are hunting him for murder, while he tries to stop professor jordan from sending secrets out of the country. hannay is assisted by pamela, an unwilling accomplice who discovers the truth.",5.865697,/oC81jK6aAug4MA0xzYVngHmjsZS.jpg,"[{'name': 'Gaumont British Picture Corporation', 'id': 4978}, {'name': 'The Criterion Collection', 'id': 10932}]",1935-06-01,handcuffed to the girl who double-crossed him,the 39 steps,7.4,217.0,"['Thriller', 'Action', 'Mystery']",gaumont british picture corporation the criterion collection,"the 39 steps action thriller mystery while on vacation in london, canadian richard hannay becomes embroiled in an international spy ring related to the mysterious ""39 steps."" then he meets agent annabella smith, who is soon killed in his apartment. he must elude the police, who are hunting him for murder, while he tries to stop professor jordan from sending secrets out of the country. hannay is assisted by pamela, an unwilling accomplice who discovers the truth. handcuffed to the girl who double-crossed him gaumont british picture corporation the criterion collection"
drama romance,261,cat on a hot tin roof,"brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, maggie. his reunion with his father, big daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son.",11.794846,/5djZZECgqDGuSI1INmrdAcGRBb0.jpg,"[{'name': 'Avon Production', 'id': 100}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",1958-02-17,just one pillow on her bed ... and just one desire in her heart!,cat on a hot tin roof,7.6,168.0,"['Drama', 'Romance']",avon production metro-goldwyn-mayer (mgm),"cat on a hot tin roof drama romance brick, an alcoholic ex-football player, drinks his days away and resists the affections of his wife, maggie. his reunion with his father, big daddy, who is dying of cancer, jogs a host of memories and revelations for both father and son. just one pillow on her bed ... and just one desire in her heart! avon production metro-goldwyn-mayer (mgm)"
adventure drama science fiction,173,"20,000 leagues under the sea","a ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the nautilus, commanded by captain nemo.",8.722406,/heAEH85fdxEgV98LizHbQCL95iZ.jpg,"[{'name': 'Walt Disney Productions', 'id': 3166}]",1954-12-23,the mightiest motion picture of them all!,"20,000 leagues under the sea",6.9,160.0,"['Drama', 'Science Fiction', 'Adventure']",walt disney productions,"20,000 leagues under the sea adventure drama science fiction a ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the nautilus, commanded by captain nemo. the mightiest motion picture of them all! walt disney productions"
drama romance,454,romeo + juliet,"in director baz luhrmann's contemporary take on william shakespeare's classic tragedy, the montagues and capulets have moved their ongoing feud to the sweltering suburb of verona beach, where romeo and juliet fall in love and secretly wed. though the film is visually modern, the bard's dialogue remains.",11.774061,/eLf4jclPijOqfEp6bDAmezRFxk5.jpg,"[{'name': 'Bazmark Films', 'id': 240}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}]",1996-10-31,my only love sprung from my only hate.,romeo + juliet,6.7,1406.0,"['Drama', 'Romance']",bazmark films twentieth century fox film corporation,"romeo + juliet drama romance in director baz luhrmann's contemporary take on william shakespeare's classic tragedy, the montagues and capulets have moved their ongoing feud to the sweltering suburb of verona beach, where romeo and juliet fall in love and secretly wed. though the film is visually modern, the bard's dialogue remains. my only love sprung from my only hate. bazmark films twentieth century fox film corporation"
family fantasy,252,willy wonka & the chocolate factory,eccentric candy man willy wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. but does wonka have an agenda hidden amid a world of oompa loompas and chocolate rivers?,12.416635,/vmpsZkrs4Uvkp9r1atL8B3frA63.jpg,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'David L. Wolper Productions', 'id': 3434}]",1971-06-29,it's scrumdiddlyumptious!,willy wonka & the chocolate factory,7.4,826.0,"['Family', 'Fantasy']",paramount pictures david l. wolper productions,willy wonka & the chocolate factory family fantasy eccentric candy man willy wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. but does wonka have an agenda hidden amid a world of oompa loompas and chocolate rivers? it's scrumdiddlyumptious! paramount pictures david l. wolper productions
crime drama,475,bonnie and clyde,bonnie and clyde is based on the true stories of the gangster pair bonnie parker and clyde barrow who in the 1930s began robbing banks in u.s. cities until they were eventually killed. the film is a major landmark in the aesthetic movement known as the new hollywood.,12.109198,/sCSQFK9kMsprT4jgWqgw82dT6WI.jpg,"[{'name': 'Tatira-Hiller Productions', 'id': 273}, {'name': 'Warner Brothers/Seven Arts', 'id': 4051}]",1967-07-18,they’re young… they’re in love… and they kill people.,bonnie and clyde,7.6,384.0,"['Drama', 'Crime']",tatira-hiller productions warner brothers/seven arts,bonnie and clyde crime drama bonnie and clyde is based on the true stories of the gangster pair bonnie parker and clyde barrow who in the 1930s began robbing banks in u.s. cities until they were eventually killed. the film is a major landmark in the aesthetic movement known as the new hollywood. they’re young… they’re in love… and they kill people. tatira-hiller productions warner brothers/seven arts
crime thriller,500,reservoir dogs,"a botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. crime begets violence as the survivors -- veteran mr. white, newcomer mr. orange, psychopathic parolee mr. blonde, bickering weasel mr. pink and nice guy eddie -- unravel.",12.22034,/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,"[{'name': 'Live Entertainment', 'id': 285}, {'name': 'Lionsgate', 'id': 1632}, {'name': 'Dog Eat Dog Productions Inc.', 'id': 26198}]",1992-09-02,every dog has his day.,reservoir dogs,8.1,3821.0,"['Thriller', 'Crime']",live entertainment lionsgate dog eat dog productions inc.,"reservoir dogs crime thriller a botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. crime begets violence as the survivors -- veteran mr. white, newcomer mr. orange, psychopathic parolee mr. blonde, bickering weasel mr. pink and nice guy eddie -- unravel. every dog has his day. live entertainment lionsgate dog eat dog productions inc."
